Voltage(mv),405-A,405-B,Voltage(mv),635-A,635-B
2800,143.0536481,143.0536481,2800,125.74905,125.74905
2820,141.6536685,141.6536685,2820,124.51842,124.51842
2840,140.3779388,140.3779388,2840,123.39701,123.39701
2860,139.133994,139.133994,2860,122.30354,122.30354
2880,137.8662106,137.8662106,2880,121.189115,121.189115
2900,136.7804679,136.7804679,2900,120.23471,120.23471
2920,135.5206307,135.5206307,2920,119.12727,119.12727
2940,134.3698734,134.3698734,2940,118.115715,118.115715
2960,133.188776,133.188776,2960,117.07749,117.07749
2980,132.0524664,132.0524664,2980,116.078635,116.078635
3000,130.9529984,130.9529984,3000,115.112165,115.112165
3100,125.6131379,125.6131379,3100,110.418245,110.418245
3200,120.7139316,120.7139316,3200,106.111675,106.111675
3300,116.1838632,116.1838632,3300,102.12959,102.12959
3400,111.9933153,111.9933153,3400,98.445955,98.445955
3500,108.0498226,108.0498226,3500,94.97949,94.97949
3600,104.4068415,104.4068415,3600,91.777185,91.777185
3700,101.0073037,101.0073037,3700,88.788875,88.788875
3800,97.80858856,97.80858856,3800,85.977095,85.977095
3900,94.8070842,94.8070842,3900,83.33867,83.33867
4000,92.00423537,92.00423537,4000,80.87487,80.87487
4100,89.34369612,89.34369612,4100,78.536165,78.536165
4200,86.82691124,86.82691124,4200,76.323825,76.323825
4300,84.42859729,84.42859729,4300,74.215625,74.215625
4400,82.18342869,82.18342869,4400,72.242045,72.242045
4500,80.03000282,80.03000282,4500,70.34911,70.34911
4600,77.99577026,77.99577026,4600,68.56095,68.56095
4700,76.0460566,76.0460566,4700,66.847085,66.847085
4800,74.22853916,74.22853916,4800,65.249425,65.249425
4900,72.46953481,72.46953481,4900,63.7032,63.7032
5000,70.7748226,70.7748226,5000,62.21349,62.21349
5100,69.1639069,69.1639069,5100,60.79744,60.79744
5200,67.6375101,67.6375101,5200,59.455685,59.455685
5300,66.17034877,66.17034877,5300,58.166,58.166
5400,64.77687057,64.77687057,5400,56.941085,56.941085
5500,63.40650865,63.40650865,5500,55.73649,55.73649
5600,62.09682697,62.09682697,5600,54.585235,54.585235
5700,60.85793889,60.85793889,5700,53.49621,53.49621
5800,59.64794616,59.64794616,5800,52.432585,52.432585
5900,58.50152319,58.50152319,5900,51.42484,51.42484
6000,57.39121941,57.39121941,6000,50.448845,50.448845
6100,56.32064674,56.32064674,6100,49.507775,49.507775
6200,55.26018744,55.26018744,6200,48.575595,48.575595
6300,54.26185314,54.26185314,6300,47.698025,47.698025
6400,53.31553047,53.31553047,6400,46.866175,46.866175
6500,52.38076593,52.38076593,6500,46.044485,46.044485
6600,51.48717727,51.48717727,6600,45.25899,45.25899
6700,50.60225721,50.60225721,6700,44.481115,44.481115
6800,49.76573686,49.76573686,6800,43.745785,43.745785
6900,48.96605809,48.96605809,6900,43.04284,43.04284
7000,48.16132262,48.16132262,7000,42.33545,42.33545
7100,47.42304646,47.42304646,7100,41.68648,41.68648
7200,46.66887786,46.66887786,7200,41.02354,41.02354
7300,45.93421361,45.93421361,7300,40.377745,40.377745
7400,45.24217001,45.24217001,7400,39.769415,39.769415
7500,44.59563658,44.59563658,7500,39.20109,39.20109
7600,43.95849414,43.95849414,7600,38.64102,38.64102
7700,43.28884443,43.28884443,7700,38.052375,38.052375
7800,42.66614966,42.66614966,7800,37.505005,37.505005
7900,42.06946071,42.06946071,7900,36.980495,36.980495
8000,41.46915984,41.46915984,8000,36.45281,36.45281
8100,40.92014821,40.92014821,8100,35.97021,35.97021
8200,40.34802031,40.34802031,8200,35.46729,35.46729
8300,39.82573688,39.82573688,8300,35.008185,35.008185
8400,39.27744763,39.27744763,8400,34.52622,34.52622
8500,38.77177903,38.77177903,8500,34.08172,34.08172
8600,38.27477903,38.27477903,8600,33.64484,33.64484
8700,37.78572525,37.78572525,8700,33.214945,33.214945
8800,37.31256391,37.31256391,8800,32.79902,32.79902
8900,36.86107409,36.86107409,8900,32.402145,32.402145
9000,36.40741711,36.40741711,9000,32.003365,32.003365
9100,35.99204647,35.99204647,9100,31.63824,31.63824
9200,35.53261043,35.53261043,9200,31.23438,31.23438
9300,35.10568165,35.10568165,9300,30.859095,30.859095
9400,34.70692583,34.70692583,9400,30.508575,30.508575
9500,34.31756101,34.31756101,9500,30.16631,30.16631
9600,33.92964095,33.92964095,9600,29.825315,29.825315
9700,33.56194764,33.56194764,9700,29.5021,29.5021
9800,33.18341857,33.18341857,9800,29.16936,29.16936
9900,32.82656101,32.82656101,9900,28.85567,28.85567
10000,32.47403776,32.47403776,10000,28.54579,28.54579
10200,31.79571944,31.79571944,10200,27.949525,27.949525
10400,31.13329357,31.13329357,10400,27.36723,27.36723
